Parameter,bsUpdate,FactoryDefault,DataType,Access,SourceFile
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LSA.Schema_Location,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LSA.Schemas_NGOD,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LSA.Schemas_admin,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LSA.Schemas_core,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LSA.XMLNS_Schema,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LSA.XMLSchema_Instance,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LSA.Xifaid_Xml_Key,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LaunchDarkly.EnvKeyLabel,,PROD,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LnFUseXPKI.Enable,,TRUE,boolean,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LogUploadBeforeDeepSleep.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LogUploadEndpoint.Enable,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LogUploadEndpoint.URL,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LoudnessEquivalence.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.MEMSWAP.Enable,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.MOCASSH.Enable,,TRUE,boolean,readWrite,data-model-generic.xml
